M.C.216 M.C.218 M.C.226 M.C.306 M.C.329 M.C.334 M.C.337 M.C.339 M.C.358 M.C.360 M.C.363 M.C.373 M.C.482 M.C.488 M.T.18 M.T.20 M.T.22 M.T.235 M.T.245 M.T.29 M.T.31 M.T.32 M.T.399 M.T.43 M.T.44 M.T.500 M.T.7 M.T.83 M.T.8 LOC baseMean log2FoldChange lfcSE stat pvalue padj cds ncbi_id protein protein_id location gbkey saccver SPID gene.Uni species pident length mismatch gapopen qstart qend sstart send evalue bitscore
8.98634806823685 7.57450479622041 7.78461323867591 7.61532603663838 7.89810392386399 7.78322761870073 8.36141372611713 8.100263088169 7.72603853109052 7.42923299575787 8.4834825911337 6.86548165489815 7.0505338947309 7.86438880027544 6.99885083949592 6.27488287290752 6.74202547180935 7.16939583669 6.69619260782803 6.65111718119109 7.66812205438518 6.95797944756656 6.23343792463417 6.40653261334728 6.41712257970368 6.60644687718942 7.16787890439814 6.84610683559521 7.13217755587981 LOC132758254 175.932090283333 -1.08276690021025 0.189401261457916 -5.71678821923175 1.0855627130962e-8 1.90993903742145e-4 lcl|NW_026859905.1_cds_XP_060605796.1_29882 132758254 "golgin subfamily A member 3-like isoform X2" XP_060605796.1 join(206368..206427,207012..207126,209746..209945,210656..210788,211181..211302,211499..214195,214443..214674,214893..215107,215660..215938,216330..216446,217263..217388,217681..217820,219713..219826,220455..220596) CDS sp|P55937|GOGA3_MOUSE P55937 GOGA3 MOUSE 28.295 1085 746 9 1393 4584 394 1467 9.3e-93 335
0 0 0 0 0 1.01770558167802 0 0.9679271189076 0 0.968854776182021 0 0 0 0 2.15478055462433 1.43216760674774 3.25114133307059 1.10002060259267 2.19609044699292 1.58018950980923 4.38594523955127 1.79348465724658 3.9704351138496 2.68985204062375 0 3.10185060683229 2.73276763309675 3.35014560552882 1.70696565719588 LOC132731948 3.12149574506731 4.32665628439777 0.793421284418667 5.45316387317221 4.94814302990834e-8 4.35288142341036e-4 lcl|NW_026853029.1_cds_XP_060574241.1_5328 132731948 "glutamate receptor ionotropic, NMDA 2B-like" XP_060574241.1 join(50076..50540,66688..66890,68902..69033,70371..70504,70879..71062,71570..71714,72122..72369,72865..73009,73402..73585,77012..77137,78460..78680,78999..79159,79555..79736,80383..80621,80883..81046,81282..81837) CDS sp|A7XY94|NMDE2_XENLA A7XY94 NMDE2 XENLA 32.33 764 455 17 472 2727 134 847 7.12e-128 429
2.13907129813321 2.1262844213948 0 1.00402400802028 1.19597312106937 0 1.76515947452759 0.9679271189076 0 0 0 3.14675743959239 0 3.28019088706602 3.61144147552335 3.48428140390861 0.96110354871964 4.64472894472562 1.76053574688888 4.94726258831015 6.63562791546922 4.63476442265935 2.62750673302539 4.7124683609384 4.97609256755029 0 2.89802503017069 5.90361895935253 6.46258041960456 LOC132731097 15.2849935316539 3.7523926125933 0.699393052490801 5.36521287883776 8.08538020767393e-8 4.74180597912717e-4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
7.21471391943885 6.57358133066943 6.55366835116061 6.62266488476321 7.50572451865853 6.70728091515228 6.50091335056874 5.3960638921821404 5.66240292112377 6.84444925208877 6.65666736270461 5.48454544639339 6.53499491462779 6.66136069557231 5.37756998279621 3.94835860656343 5.59514329052913 6.09742275058048 5.71003891505036 5.3149422437875 5.42716497934252 4.89607663098597 5.57337879238869 6.00865249677793 5.50478233419901 5.11234859122873 5.31195049330333 6.07086374977008 4.98066126773673 LOC132731011 68.9881093815053 -1.13934520385304 0.215175085729037 -5.29496804889289 1.19037221907986e-7 5.23585220562277e-4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1.09418743226954 1.69774895784412 1.86258904585113 6.59291583751317 3.12861653109318 7.18469873714606 2.7220149282902 3.84643252143966 7.83461397634852 5.0263772270675 2.72506658794811 0 0 1.66844190052297 0.897823017942947 0.886947513213227 1.94125486383747 1.10002060259267 1.13364218249913 0.996421738028343 0 2.92169618844008 0 0 6.94129817727704 2.9071972226996 0 1.5056383508054 2.46714092703963 LOC132713898 19.6629880663293 -4.23703414530492 0.80966592422188 -5.2330646734045 1.6672237217965e-7 5.86662683225753e-4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
6.30943149027625 7.93350143734366 7.72293460744535 6.92683382375538 8.01071064051671 6.24417991767352 6.40886552823165 5.55118838383367 6.86842548329664 7.10739428216515 5.6867013534963 7.0721343973272 5.2176180418071 6.72216724451313 4.79497829838106 4.67967820845637 5.70396218192869 5.54668155669134 5.45904815118099 6.31485246160981 5.46377968185542 5.21628047005908 5.59930001772353 6.12592923862566 5.61140402713526 6.15853773474462 5.88475602327434 4.8832441563133004 4.4183660709132 LOC132746399 82.1608047374183 -1.3911792874175 0.267833246615293 -5.19419939457982 2.0560269014306e-7 6.02895621729498e-4 lcl|NW_026856403.1_cds_XP_060591504.1_17037 132746399 "FYVE and coiled-coil domain-containing protein 1-like" XP_060591504.1 join(244740..244917,245325..245444,245898..246010,246523..246629,247547..247690,247893..247977,248382..248641,249111..249467,249688..249820,250936..252438,252627..255905,256338..256472,257153..257224,258924..258971,259772..259890,260508..260646,261012..261085,261674..261849,262517..262718,263987..264106,265802..265961,266730..266899,267500..267557) CDS sp|Q8VDC1|FYCO1_MOUSE Q8VDC1 FYCO1 MOUSE 52.907 172 81 0 157 672 12 183 7.67e-58 226
3.86978617290089 3.47219510049811 4.18093395849794 3.17707105214723 4.348012589766 4.73429826773257 5.32860516022393 3.40057636144643 3.93945664672988 4.9390325576517 3.96263786321107 4.96828131285403 4.65191230698282 5.07384878096326 5.81373362211009 6.3962178840085 6.95517098222746 4.35338103453435 4.637053301686 5.2784209718260104 6.23074012851325 4.89607663098597 6.2498962530527304 7.01271502281999 7.4451551329915 5.15684836209029 4.86969776001101 6.18468912824487 4.56360628973372 LOC132720785 43.7150113741713 1.66540128634078 0.3256328561823 5.11435272799508 3.14818596519542e-7 7.9127405530926e-4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
6.52033175377122 5.48403852815111 5.76529839599848 6.38297969149045 7.13367917106777 6.16398271007754 6.40886552823165 5.3960638921821404 7.45381293697816 5.4303052059878 6.9853493761262 6.79432208545962 5.75776956332719 6.3698444897436 4.32131842442867 4.09895227205228 5.24508261923708 5.5109468570542 5.1058184106859 5.48484729411762 4.89507021154207 5.36759328374964 5.18561827462727 5.21422697651781 5.84786492204438 6.09134313741116 4.60856924151458 5.92561596309302 4.63108750981391 LOC132746792 60.611045635065 -1.175709752896 0.240834522298846 -4.88181570346915 1.05113472164085e-6 0.00231170803656864 lcl|NW_026856504.1_cds_XP_060592026.1_17503 132746792 "phospholipase D1-like" XP_060592026.1 join(77330..77358,82391..82548,87950..88112,100183..100311,103876..104011,110441..110506,111677..111834,122931..>123083) CDS sp|Q9Z280|PLD1_MOUSE Q9Z280 PLD1 MOUSE 37.086 302 169 7 97 990 19 303 8.52e-43 161
9.60861624059305 7.57450479622041 9.99441669968093 8.73253172960459 10.1786907687628 9.36157182831085 9.07468103327278 7.92973860735048 9.06036372339894 8.72180312637703 9.10875792804486 8.35584099352907 8.3094031376163 9.76537848092064 6.83397855315471 8.16591382941131 7.6562194492447 7.79253305554722 7.53055788911329 7.76765443838976 6.23074012851325 7.53906869754165 8.38465028875197 8.63788884641553 8.22711550054816 8.32490830481959 6.84238403559308 8.10855411238068 8.72963891052568 LOC132730403 402.333739629509 -1.23943983254973 0.257654826731264 -4.8104661894903 1.5057867433984e-6 0.00294364577370572 lcl|NW_026865813.1_cds_XP_060572302.1_51632 132730403 "coiled-coil domain-containing protein 112-like" XP_060572302.1 join(130656..130676,132541..132638,133155..133276,133594..133683,134475..134550,135278..135467,136017..136103,136441..136590,138611..138838,139626..139775,140242..140337,140824..140945,141662..141692) CDS sp|Q8NEF3|CC112_HUMAN Q8NEF3 CC112 HUMAN 40.135 446 258 6 130 1455 1 441 6.82e-79 256
8.08877656848099 8.4416551206386 8.04439711205436 9.28414830200559 9.81509857006572 7.61244327339753 8.48891641428941 6.66367129195362 7.7777254023298 7.1758533030223 8.49250253798418 6.76484551035313 8.02516679885296 8.88475344107339 6.94932274388068 5.85550070117172 6.80445917515098 7.44028954870034 6.92607157275962 6.67940484469507 6.83046939432645 6.50170336279824 6.67244851534244 7.86251383097445 6.98161403822261 7.75913057912942 6.84238403559308 7.86280691847579 5.49704776238331 LOC132745822 226.469305161018 -1.34142101015042 0.281121780613642 -4.77167228815327 1.8270260141487e-6 0.00321446956929322 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
