baseMean log2FoldChange lfcSE stat pvalue padj LOC cds ncbi_id protein protein_id location gbkey saccver SPID gene.Uni species pident length mismatch gapopen qstart qend sstart send evalue bitscore
66.4440952284001 -1.4736463656887 0.347481051808462 -4.24094021247813 2.22585426295562e-5 0.0122356518160707 LOC132742068 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
116.025363520233 -1.0082948278997 0.24885563694909 -4.05172589321726 5.08412073039836e-5 0.018933622948158 LOC132738510 lcl|NW_026851741.1_cds_XP_060581999.1_835 132738510 "centrosome-associated protein 350-like" XP_060581999.1 complement(join(<205..341,2234..2314,5625..5888,7506..7630,7927..8070,8613..8898,9516..9659,13793..14011,14511..14664,16884..16976,19142..19376,22967..23159,24672..24844,25209..25346,28077..28498,31540..31661,32237..32553,32907..33152,36970..37068,40419..40520,41803..41934,42244..42429,49459..>49524)) CDS sp|Q5VT06|CE350_HUMAN Q5VT06 CE350 HUMAN 52.809 178 72 4 3340 3843 1608 1783 1.53e-34 149
7.98100609590485 5.49943378934419 1.14851634282337 4.78829389212267 1.68205195574815e-6 0.00349306122810365 LOC132739257 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
65.0413135613201 -0.5547020561653 0.152390139248964 -3.64001279150397 2.72624497186872e-4 0.0450375981780813 LOC132747313 lcl|NW_026852031.1_cds_XP_060592687.1_1810 132747313 "1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1-like isoform X7" XP_060592687.1 join(153575..153673,158432..158509,160938..160967,181439..181510,183513..183653,195145..195278,201799..201886,202955..203055,206279..206445,208681..208701,215464..215610,216008..216165,217140..217219,217747..217831,219404..219488,220417..220712,227189..227203,233701..233797,234490..234574,235785..235857,237347..237398,238303..238457,238849..239013,239830..239929,240550..240654,241367..241464,243410..243626,246343..246375,248544..248636,252740..252855,253160..253354,253772..253933,254916..255025,255360..255417,256845..256931,257223..257378) CDS sp|Q15147|PLCB4_HUMAN Q15147 PLCB4 HUMAN 45.147 886 442 8 52 2706 13 855 0 743
195.67196908786 -0.824949469797005 0.199029339989701 -4.14486361578496 3.40016018963032e-5 0.0162946138318438 LOC132751314 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
27.5748885443053 1.78536913196866 0.417591727643189 4.27539391655328 1.90799636692046e-5 0.0115033716444334 LOC132727777 lcl|NW_026852900.1_cds_XP_060569343.1_4903 132727777 "mitochondrial-processing peptidase subunit alpha-like" XP_060569343.1 complement(join(372478..372644,373954..374035,374915..374977,376031..376091,376908..377119,378931..379209,380697..380789,381750..381852,382425..382507,386855..387004,387415..387562,388920..388975)) CDS sp|Q9DC61|MPPA_MOUSE Q9DC61 MPPA MOUSE 48.109 476 204 8 169 1488 55 523 1.41e-134 402
168.3466674674 0.579516736271776 0.126541384869541 4.57966171991269 4.6572856700783e-6 0.00570510262963059 LOC132728236 lcl|NW_026852917.1_cds_XP_060569828.1_4940 132728236 elongin-C XP_060569828.1 join(17159..17327,20274..20322,23590..23731) CDS sp|P83941|ELOC_RAT P83941 ELOC RAT 95.413 109 5 0 31 357 4 112 8.56e-76 222
401.696496372901 -0.478139920188174 0.132611871499626 -3.60555895019944 3.11481770505298e-4 0.0485132857562002 LOC132730898 lcl|NW_026852998.1_cds_XP_060572968.1_5214 132730898 "mannosyl-oligosaccharide 1,2-alpha-mannosidase IA-like" XP_060572968.1 complement(join(501618..501857,505113..505285,506803..506907,507687..507795,509728..509843,510507..510600,511521..511644,533642..533736,544978..545058,553097..553312,560145..560753)) CDS sp|P39098|MA1A2_MOUSE P39098 MA1A2 MOUSE 52.315 648 280 6 1 1923 1 626 0 681
3.12149574506731 4.32637849248755 0.767888062952316 5.63412651038464 1.7594782869122e-8 1.64423245911945e-4 LOC132731948 lcl|NW_026853029.1_cds_XP_060574241.1_5328 132731948 "glutamate receptor ionotropic, NMDA 2B-like" XP_060574241.1 join(50076..50540,66688..66890,68902..69033,70371..70504,70879..71062,71570..71714,72122..72369,72865..73009,73402..73585,77012..77137,78460..78680,78999..79159,79555..79736,80383..80621,80883..81046,81282..81837) CDS sp|A7XY94|NMDE2_XENLA A7XY94 NMDE2 XENLA 32.33 764 455 17 472 2727 134 847 7.12e-128 429
72.3996894141605 -1.14014523452644 0.315584561155472 -3.61280422068795 3.02903405970954e-4 0.0481127974924358 LOC132732274 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
